gene_ID,chromosome,gene_length[bp],A_content[%],T_content[%],C_content[%],G_content[%],GC_content[%],category
543,YCL047C,3,777,31.14543,29.72973,18.27542,20.84942,39.12484,"GC content below 
 length below"
544,YCL048W,3,1392,33.69253,29.38218,17.0977,19.82759,36.925290000000004,"GC content below 
 length above"
545,YCL048W-A,3,240,25.0,25.41667,28.33333,21.25,49.583330000000004,"GC content above 
 length below"
546,YCL049C,3,939,29.60596,26.83706,21.08626,22.47071,43.55697,"GC content above 
 length below"
547,YCL050C,3,966,33.12629,27.53623,21.11801,18.21946,39.33747,"GC content below 
 length below"
548,YCL051W,3,1752,33.56164,24.37215,22.03196,20.03425,42.06621,"GC content above 
 length above"
549,YCL052C,3,1251,32.93365,28.53717,17.98561,20.54357,38.52918,"GC content below 
 length above"
550,YCL054W,3,2526,36.77751,25.05938,14.21219,23.95091,38.1631,"GC content below 
 length above"
551,YCL054W-A,3,87,36.78161,29.88506,14.94253,18.3908,33.33333,"GC content below 
 length below"
552,YCL055W,3,1008,35.41667,26.38889,19.14683,19.04762,38.19445,"GC content below 
 length below"
553,YCL056C,3,435,35.63218,30.8046,11.26437,22.29885,33.56322,"GC content below 
 length below"
554,YCL057C-A,3,294,24.14966,24.4898,25.85034,25.5102,51.36054,"GC content above 
 length below"
555,YCL057W,3,2139,31.08929,29.26601,19.07433,20.57036,39.64469,"GC content below 
 length above"
556,YCL058C,3,459,18.08279,40.08715,26.14379,15.68627,41.83006,"GC content above 
 length below"
557,YCL058W-A,3,342,40.35088,16.08187,16.66667,26.90058,43.56725,"GC content above 
 length below"
558,YCL059C,3,951,37.43428,24.18507,15.98318,22.39748,38.380660000000006,"GC content below 
 length below"
559,YCL061C,3,3291,39.98785,22.30325,17.53266,20.17624,37.7089,"GC content below 
 length above"
560,YCL063W,3,1272,33.88365,25.9434,20.99057,19.18239,40.17296,"GC content above 
 length above"
561,YCL064C,3,1083,32.40997,28.25485,17.9132,21.42198,39.33518,"GC content below 
 length below"
562,YCL066W,3,528,32.76515,29.35606,18.56061,19.31818,37.87879,"GC content below 
 length below"
563,YCL067C,3,633,41.23223,23.69668,16.74566,18.32543,35.07109,"GC content below 
 length below"
564,YCL068C,3,783,31.67305,24.7765,25.92593,17.62452,43.55045,"GC content above 
 length below"
565,YCL069W,3,1377,26.94263,33.69644,18.95425,20.40668,39.360929999999996,"GC content below 
 length above"
566,YCL073C,3,1848,27.54329,32.03463,19.75108,20.671,40.42208,"GC content above 
 length above"
567,YCR002C,3,969,32.19814,30.75335,16.92466,20.12384,37.048500000000004,"GC content below 
 length below"
568,YCR003W,3,552,37.68116,24.81884,17.75362,19.74638,37.5,"GC content below 
 length below"
569,YCR004C,3,744,29.03226,26.07527,21.10215,23.79032,44.89247,"GC content above 
 length below"
570,YCR005C,3,1383,31.09183,29.06725,18.94432,20.8966,39.84092,"GC content above 
 length above"
571,YCR007C,3,720,32.36111,31.38889,16.94444,19.30556,36.25,"GC content below 
 length below"
572,YCR008W,3,1812,33.22296,27.59382,18.7638,20.41943,39.183229999999995,"GC content below 
 length above"
573,YCR009C,3,798,35.71429,26.06516,16.91729,21.30326,38.22055,"GC content below 
 length below"
574,YCR010C,3,852,23.23944,34.74178,18.07512,23.94366,42.01878,"GC content above 
 length below"
575,YCR011C,3,3150,30.50794,31.55556,16.47619,21.46032,37.93651,"GC content below 
 length above"
576,YCR012W,3,1251,25.73941,28.21743,21.10312,24.94005,46.04317,"GC content above 
 length above"
577,YCR014C,3,1749,35.79188,28.24471,14.23671,21.7267,35.96341,"GC content below 
 length above"
578,YCR015C,3,954,34.80084,30.2935,15.19916,19.7065,34.90566,"GC content below 
 length below"
579,YCR016W,3,873,41.46621,22.45132,14.54754,21.53494,36.08248,"GC content below 
 length below"
580,YCR017C,3,2862,26.55486,33.89238,18.7631,20.78966,39.552760000000006,"GC content below 
 length above"
581,YCR018C,3,666,40.54054,22.07207,16.36637,21.02102,37.387389999999996,"GC content below 
 length below"
582,YCR019W,3,1092,31.77656,27.5641,17.67399,22.98535,40.65934,"GC content above 
 length below"
583,YCR020C,3,648,31.48148,29.78395,18.20988,20.52469,38.73457,"GC content below 
 length below"
584,YCR020C-A,3,267,27.71536,32.9588,15.35581,23.97004,39.32585,"GC content below 
 length below"
585,YCR020W-B,3,237,43.88186,22.78481,13.92405,19.40928,33.33333,"GC content below 
 length below"
586,YCR021C,3,999,23.92392,33.23323,19.51952,23.32332,42.842839999999995,"GC content above 
 length below"
587,YCR023C,3,1836,28.75817,33.11547,17.53813,20.58824,38.126369999999994,"GC content below 
 length above"
588,YCR024C,3,1479,33.60379,29.0737,19.47262,17.8499,37.32252,"GC content below 
 length above"
589,YCR024C-A,3,123,27.64228,36.58537,14.63415,21.13821,35.77236,"GC content below 
 length below"
590,YCR024C-B,3,267,20.22472,46.81648,17.603,15.35581,32.95881,"GC content below 
 length below"
591,YCR026C,3,2229,32.70525,27.00763,18.57335,21.71377,40.28712,"GC content above 
 length above"
592,YCR027C,3,630,32.53968,27.77778,17.46032,22.22222,39.68254,"GC content above 
 length below"
593,YCR028C,3,1539,26.77063,33.00845,17.21897,23.00195,40.22092,"GC content above 
 length above"
594,YCR028C-A,3,491,31.36456,32.99389,17.92261,17.71894,35.641549999999995,"GC content below 
 length below"
595,YCR030C,3,2613,31.91734,26.40643,23.34481,18.33142,41.676230000000004,"GC content above 
 length above"
596,YCR031C,3,721,29.26491,31.34535,18.03051,21.35922,39.38973,"GC content below 
 length below"
597,YCR032W,3,6504,34.14822,30.79643,16.65129,18.40406,35.055350000000004,"GC content below 
 length above"
598,YCR033W,3,3681,36.18582,24.23255,20.0489,19.53274,39.58164,"GC content below 
 length above"
599,YCR034W,3,1044,26.05364,35.72797,20.01916,18.19923,38.21839,"GC content below 
 length below"
600,YCR035C,3,1185,35.0211,26.75105,16.20253,22.02532,38.227850000000004,"GC content below 
 length below"
601,YCR036W,3,1002,31.63673,28.54291,16.26747,23.55289,39.82036,"GC content above 
 length below"
602,YCR037C,3,2772,30.88023,30.55556,18.61472,19.94949,38.56421,"GC content below 
 length above"
603,YCR038C,3,1929,34.3183,26.33489,22.96527,16.38154,39.346810000000005,"GC content below 
 length above"
604,YCR039C,3,633,41.23223,23.69668,16.74566,18.32543,35.07109,"GC content below 
 length below"
605,YCR040W,3,528,32.76515,29.35606,18.56061,19.31818,37.87879,"GC content below 
 length below"
606,YCR041W,3,333,24.02402,39.93994,17.41742,18.61862,36.03604,"GC content below 
 length below"
607,YCR042C,3,4224,33.94886,29.23769,15.10417,21.70928,36.81345,"GC content below 
 length above"
608,YCR043C,3,384,30.46875,32.55208,14.0625,22.91667,36.979169999999996,"GC content below 
 length below"
609,YCR044C,3,1074,27.83985,31.37803,19.27374,21.50838,40.78212,"GC content above 
 length below"
610,YCR045C,3,1476,28.38753,23.71274,23.17073,24.729,47.89973,"GC content above 
 length above"
611,YCR046C,3,510,27.84314,19.80392,25.88235,26.47059,52.352940000000004,"GC content above 
 length below"
612,YCR047C,3,828,26.3285,21.01449,20.16908,32.48792,52.657000000000004,"GC content above 
 length below"
613,YCR048W,3,1833,23.94981,26.13202,24.27714,25.64103,49.91817,"GC content above 
 length above"
614,YCR050C,3,309,32.03883,22.65372,22.00647,23.30097,45.30744,"GC content above 
 length below"
615,YCR051W,3,669,27.95217,18.98356,21.22571,31.83857,53.06428,"GC content above 
 length below"
616,YCR052W,3,1452,32.64463,21.55647,23.07163,22.72727,45.7989,"GC content above 
 length above"
617,YCR053W,3,1545,31.58576,28.02589,22.00647,18.38188,40.38835,"GC content above 
 length above"
618,YCR054C,3,1692,33.03783,30.91017,17.13948,18.91253,36.052009999999996,"GC content below 
 length above"
619,YCR057C,3,2772,30.48341,28.1746,19.01154,22.33045,41.341989999999996,"GC content above 
 length above"
620,YCR059C,3,777,24.32432,22.65122,27.02703,25.99743,53.024460000000005,"GC content above 
 length below"
621,YCR060W,3,336,29.46429,20.83333,22.91667,26.78571,49.702380000000005,"GC content above 
 length below"
622,YCR061W,3,1896,22.20464,28.79747,27.42616,21.57173,48.99789,"GC content above 
 length above"
623,YCR063W,3,474,33.12236,18.98734,25.10549,22.78481,47.890299999999996,"GC content above 
 length below"
624,YCR065W,3,1695,32.62537,25.54572,22.53687,19.29204,41.82891,"GC content above 
 length above"
625,YCR066W,3,1464,36.13388,26.02459,19.05738,18.78415,37.84153,"GC content below 
 length above"
626,YCR067C,3,3198,30.11257,29.83114,21.73233,18.32395,40.05628,"GC content above 
 length above"
627,YCR068W,3,1563,27.57518,24.44018,22.84069,25.14395,47.98464,"GC content above 
 length above"
628,YCR069W,3,957,29.46708,27.16823,23.093,20.27168,43.36468,"GC content above 
 length below"
629,YCR071C,3,441,35.37415,24.26304,17.23356,23.12925,40.362809999999996,"GC content above 
 length below"
630,YCR072C,3,1548,30.23256,26.35659,20.41344,22.99742,43.41086,"GC content above 
 length above"
631,YCR073C,3,3996,33.20821,27.52753,17.49249,21.77177,39.26426,"GC content below 
 length above"
632,YCR073W-A,3,948,27.1097,23.41772,23.10127,26.37131,49.47258,"GC content above 
 length below"
633,YCR075C,3,783,25.41507,31.28991,20.30651,22.98851,43.29502,"GC content above 
 length below"
634,YCR075W-A,3,228,31.57895,25.87719,19.29825,23.24561,42.543859999999995,"GC content above 
 length below"
635,YCR076C,3,753,28.55246,23.37317,21.11554,26.95883,48.07437,"GC content above 
 length below"
636,YCR077C,3,2391,30.61481,25.93057,22.37558,21.07905,43.454629999999995,"GC content above 
 length above"
637,YCR079W,3,1329,27.91573,24.30399,22.57336,25.20692,47.780280000000005,"GC content above 
 length above"
638,YCR081W,3,4284,34.31373,30.53221,18.11391,17.04015,35.15406,"GC content below 
 length above"
639,YCR082W,3,387,34.62532,25.83979,18.86305,20.67183,39.53488,"GC content below 
 length below"
640,YCR083W,3,384,32.03125,26.5625,19.53125,21.875,41.40625,"GC content above 
 length below"
641,YCR084C,3,2142,30.29879,24.18301,24.8366,20.68161,45.518209999999996,"GC content above 
 length above"
642,YCR086W,3,573,34.55497,21.46597,22.51309,21.46597,43.97906,"GC content above 
 length below"
643,YCR087C-A,3,462,36.14719,18.61472,18.39827,26.83983,45.2381,"GC content above 
 length below"
644,YCR088W,3,1779,32.54637,21.52895,23.7774,22.14727,45.92467,"GC content above 
 length above"
645,YCR089W,3,4830,28.50932,29.71014,26.66667,15.11387,41.78054,"GC content above 
 length above"
646,YCR090C,3,549,34.06193,29.5082,15.4827,20.94718,36.42988,"GC content below 
 length below"
647,YCR091W,3,2163,34.67406,25.33518,21.12806,18.86269,39.990750000000006,"GC content above 
 length above"
648,YCR092C,3,3057,34.41282,28.78639,16.71573,20.08505,36.80078,"GC content below 
 length above"
649,YCR093W,3,6327,33.20689,30.36194,18.68184,17.74933,36.43117,"GC content below 
 length above"
650,YCR094W,3,1176,34.43878,28.7415,17.60204,19.21769,36.81973,"GC content below 
 length below"
651,YCR095C,3,1089,37.09826,28.83379,14.23324,19.83471,34.06795,"GC content below 
 length below"
652,YCR095W-A,3,159,35.84906,33.33333,13.20755,17.61006,30.817610000000002,"GC content below 
 length below"
653,YCR096C,3,360,41.66667,21.11111,16.66667,20.55556,37.222229999999996,"GC content below 
 length below"
654,YCR097W,3,487,41.2731,28.74743,14.37372,15.60575,29.97947,"GC content below 
 length below"
655,YCR098C,3,1557,28.90173,32.81952,15.35003,22.92871,38.27874,"GC content below 
 length above"
656,YCR099C,3,468,35.47009,26.92308,15.17094,22.4359,37.60684,"GC content below 
 length below"
657,YCR100C,3,951,30.70452,31.01998,19.13775,19.13775,38.2755,"GC content below 
 length below"
658,YCR101C,3,549,32.42259,30.60109,17.12204,19.85428,36.97632,"GC content below 
 length below"
659,YCR102C,3,1107,29.08762,26.6486,21.22855,23.03523,44.26378,"GC content above 
 length below"
660,YCR104W,3,375,24.0,28.26667,27.46667,20.26667,47.73334,"GC content above 
 length below"
661,YCR105W,3,1086,27.80847,28.54512,18.69245,24.95396,43.64641,"GC content above 
 length below"
662,YCR106W,3,2499,32.01281,31.05242,17.16687,19.76791,36.93478,"GC content below 
 length above"
663,YCR107W,3,1092,30.21978,28.84615,17.76557,23.1685,40.934070000000006,"GC content above 
 length below"
664,YCR108C,3,192,27.60417,26.04167,33.33333,13.02083,46.35415999999999,"GC content above 
 length below"
665,YDL001W,4,1293,35.88554,26.68213,16.78268,20.64965,37.43233,"GC content below 
 length above"
666,YDL002C,4,612,39.70588,22.38562,14.37908,23.52941,37.90849,"GC content below 
 length below"
667,YDL003W,4,1701,36.86067,24.80894,18.107,20.2234,38.3304,"GC content below 
 length above"
668,YDL004W,4,483,31.26294,28.98551,19.25466,20.49689,39.75155,"GC content above 
 length below"
669,YDL005C,4,1296,40.12346,21.52778,20.52469,17.82407,38.34876,"GC content below 
 length above"
670,YDL006W,4,846,32.74232,28.95981,14.4208,23.87707,38.29787,"GC content below 
 length below"
671,YDL007C-A,4,258,32.55814,32.17054,20.93023,14.34109,35.27132,"GC content below 
 length below"
672,YDL007W,4,1314,34.8554,26.0274,15.98174,23.13546,39.1172,"GC content below 
 length above"
673,YDL008W,4,498,31.5261,25.50201,19.47791,23.49398,42.97189,"GC content above 
 length below"
674,YDL009C,4,324,25.92593,38.58025,21.2963,14.19753,35.49383,"GC content below 
 length below"
675,YDL010W,4,696,35.77586,26.2931,16.37931,21.55172,37.93103,"GC content below 
 length below"
676,YDL012C,4,410,29.5122,26.09756,26.82927,17.56098,44.39025,"GC content above 
 length below"
677,YDL013W,4,1860,33.70968,23.49462,18.65591,24.13978,42.79568999999999,"GC content above 
 length above"
678,YDL014W,4,984,24.39024,28.15041,18.59756,28.86179,47.45935,"GC content above 
 length below"
679,YDL015C,4,933,28.83173,35.90568,18.11361,17.14898,35.26259,"GC content below 
 length below"
680,YDL017W,4,1524,33.13648,28.34646,16.66667,21.85039,38.51706,"GC content below 
 length above"
681,YDL018C,4,678,33.9233,27.87611,17.55162,20.64897,38.20059,"GC content below 
 length below"
682,YDL019C,4,3852,34.86501,24.74039,18.50987,21.88474,40.39461,"GC content above 
 length above"
683,YDL020C,4,1596,35.15038,26.50376,19.29825,19.04762,38.34587,"GC content below 
 length above"
684,YDL021W,4,936,34.9359,27.5641,16.66667,20.83333,37.5,"GC content below 
 length below"
685,YDL022C-A,4,249,23.69478,36.14458,19.27711,20.88353,40.16064,"GC content above 
 length below"
686,YDL022W,4,1176,27.55102,28.57143,20.40816,23.46939,43.87755,"GC content above 
 length below"
687,YDL024C,4,1407,30.56148,29.56645,18.62118,21.25089,39.872069999999994,"GC content above 
 length above"
688,YDL025C,4,1863,33.33333,26.57005,21.47075,18.62587,40.09662,"GC content above 
 length above"
689,YDL027C,4,1263,34.28345,29.92874,19.31908,16.46873,35.78781,"GC content below 
 length above"
690,YDL028C,4,2295,36.60131,26.4488,17.64706,19.30283,36.949889999999996,"GC content below 
 length above"
691,YDL029W,4,1299,28.02156,30.94688,17.85989,23.17167,41.03156,"GC content above 
 length above"
692,YDL030W,4,1593,35.4049,26.80477,16.32141,21.46893,37.79034,"GC content below 
 length above"
693,YDL031W,4,2988,35.5087,25.60241,16.80054,22.08835,38.88889,"GC content below 
 length above"
694,YDL033C,4,1254,29.90431,24.48166,22.16906,23.44498,45.61404,"GC content above 
 length above"
695,YDL035C,4,2886,35.30839,28.17048,18.26057,18.26057,36.52114,"GC content below 
 length above"
696,YDL036C,4,1389,36.2131,25.34197,17.13463,21.3103,38.44493,"GC content below 
 length above"
697,YDL037C,4,987,28.36879,31.71226,27.65957,12.25937,39.91894,"GC content above 
 length below"
698,YDL039C,4,2097,28.42155,28.65999,27.03863,15.87983,42.91846,"GC content above 
 length above"
699,YDL040C,4,2565,34.5809,27.17349,18.16764,20.07797,38.24561,"GC content below 
 length above"
700,YDL042C,4,1689,32.97809,27.35346,20.72232,18.94612,39.668440000000004,"GC content above 
 length above"
701,YDL043C,4,801,36.70412,26.21723,15.98002,21.09863,37.078649999999996,"GC content below 
 length below"
702,YDL044C,4,1323,37.64172,25.17007,16.09977,21.08844,37.18821,"GC content below 
 length above"
703,YDL045C,4,921,32.57329,28.23018,19.10966,20.08686,39.19652000000001,"GC content below 
 length below"
704,YDL045W-A,4,288,34.72222,25.34722,20.83333,19.09722,39.93055,"GC content above 
 length below"
705,YDL046W,4,522,29.69349,26.81992,22.60536,20.88123,43.48659,"GC content above 
 length below"
706,YDL047W,4,936,27.88462,27.02991,20.19231,24.89316,45.08547,"GC content above 
 length below"
707,YDL048C,4,1473,31.02512,24.16836,27.69857,17.10794,44.80651,"GC content above 
 length above"
708,YDL049C,4,807,31.84634,25.52664,21.31351,21.31351,42.62702,"GC content above 
 length below"
709,YDL051W,4,828,35.50725,24.03382,18.35749,22.10145,40.45894,"GC content above 
 length below"
710,YDL052C,4,912,28.17982,29.49561,19.84649,22.47807,42.32456,"GC content above 
 length below"
711,YDL053C,4,558,36.20072,21.32616,22.75986,19.71326,42.473119999999994,"GC content above 
 length below"
712,YDL054C,4,1461,25.87269,32.92266,22.0397,19.16496,41.204660000000004,"GC content above 
 length above"
713,YDL055C,4,1086,28.91344,29.46593,20.25783,21.3628,41.62063,"GC content above 
 length below"
714,YDL056W,4,2502,36.53078,25.41966,19.66427,18.38529,38.04956,"GC content below 
 length above"
715,YDL057W,4,987,32.01621,26.34245,19.95947,21.68186,41.641329999999996,"GC content above 
 length below"
716,YDL058W,4,5373,39.92183,24.28811,15.93151,19.85855,35.79006,"GC content below 
 length above"
717,YDL059C,4,717,34.03068,23.84937,18.41004,23.7099,42.11994,"GC content above 
 length below"
718,YDL060W,4,2367,34.22053,25.85551,17.82847,22.09548,39.92395,"GC content above 
 length above"
719,YDL061C,4,171,28.65497,26.31579,23.97661,21.05263,45.02924,"GC content above 
 length below"
720,YDL063C,4,1863,34.19216,30.1664,17.06924,18.5722,35.64144,"GC content below 
 length above"
721,YDL064W,4,584,33.39041,28.25342,18.49315,19.86301,38.35616,"GC content below 
 length below"
722,YDL065C,4,1029,39.65015,23.22643,13.41108,23.71234,37.12342,"GC content below 
 length below"
723,YDL066W,4,1287,30.76923,26.72883,20.90132,21.60062,42.50194,"GC content above 
 length above"
724,YDL067C,4,180,29.44444,22.77778,19.44444,28.33333,47.777770000000004,"GC content above 
 length below"
725,YDL069C,4,690,38.55072,27.68116,16.52174,17.24638,33.768119999999996,"GC content below 
 length below"
726,YDL070W,4,1917,37.0892,26.08242,17.68388,19.1445,36.828379999999996,"GC content below 
 length above"
727,YDL072C,4,612,28.59477,30.06536,20.75163,20.58824,41.33987,"GC content above 
 length below"
728,YDL073W,4,2955,34.92386,30.76142,15.8714,18.44332,34.31472,"GC content below 
 length above"
729,YDL074C,4,2103,38.84926,25.29719,16.11983,19.73371,35.853539999999995,"GC content below 
 length above"
730,YDL075W,4,763,37.35256,27.12975,16.77588,18.74181,35.51769,"GC content below 
 length below"
731,YDL076C,4,885,35.59322,25.87571,19.77401,18.75706,38.53107,"GC content below 
 length below"
732,YDL077C,4,3150,35.07937,29.14286,17.5873,18.19048,35.77778,"GC content below 
 length above"
733,YDL078C,4,1032,29.55426,26.45349,20.15504,23.83721,43.99225,"GC content above 
 length below"
734,YDL079C,4,1798,34.09344,28.25362,18.18687,19.46607,37.65294,"GC content below 
 length above"
735,YDL080C,4,1830,32.29508,26.77596,19.89071,21.03825,40.928960000000004,"GC content above 
 length above"
736,YDL081C,4,321,24.29907,28.97196,19.62617,27.1028,46.72897,"GC content above 
 length below"
737,YDL082W,4,965,33.16062,27.87565,19.06736,19.89637,38.96373,"GC content below 
 length below"
738,YDL083C,4,864,30.32407,30.32407,18.86574,20.48611,39.35185,"GC content below 
 length below"
739,YDL084W,4,1341,31.39448,29.67934,18.49366,20.43251,38.92617,"GC content below 
 length above"
740,YDL085C-A,4,207,45.41063,13.04348,14.97585,26.57005,41.545899999999996,"GC content above 
 length below"
741,YDL085W,4,1638,29.12088,27.28938,19.78022,23.80952,43.58974,"GC content above 
 length above"
742,YDL086W,4,822,25.79075,27.37226,22.62774,24.20925,46.83699,"GC content above 
 length below"
743,YDL087C,4,786,32.1883,21.37405,21.50127,24.93639,46.43766,"GC content above 
 length below"
744,YDL088C,4,1587,35.66478,26.46503,20.91997,16.95022,37.87019,"GC content below 
 length above"
745,YDL089W,4,1455,33.95189,30.79038,17.38832,17.86942,35.25774,"GC content below 
 length above"
746,YDL090C,4,1296,32.40741,27.70062,18.20988,21.6821,39.89198,"GC content above 
 length above"
747,YDL091C,4,1368,35.81871,26.68129,18.05556,19.44444,37.5,"GC content below 
 length above"
748,YDL092W,4,441,37.86848,24.26304,16.78005,21.08844,37.868489999999994,"GC content below 
 length below"
749,YDL093W,4,2232,27.10573,33.60215,18.54839,20.74373,39.29212,"GC content below 
 length above"
750,YDL095W,4,2454,25.83537,31.37734,20.7824,22.00489,42.78729,"GC content above 
 length above"
751,YDL097C,4,1305,33.18008,25.51724,19.08046,22.22222,41.302679999999995,"GC content above 
 length above"
752,YDL098C,4,585,36.23932,26.32479,16.06838,21.36752,37.435900000000004,"GC content below 
 length below"
753,YDL099W,4,1026,42.78752,18.90838,16.17934,22.12476,38.3041,"GC content below 
 length below"
754,YDL100C,4,1065,32.01878,28.26291,19.24883,20.46948,39.71831,"GC content above 
 length below"
755,YDL101C,4,1542,35.86252,26.13489,18.48249,19.5201,38.00259,"GC content below 
 length above"
756,YDL102W,4,3294,31.87614,30.20644,17.24347,20.67395,37.91742,"GC content below 
 length above"
757,YDL103C,4,1434,33.40307,26.35983,18.89819,21.33891,40.2371,"GC content above 
 length above"
758,YDL104C,4,1224,32.92484,27.94118,16.83007,22.30392,39.13399,"GC content below 
 length below"
759,YDL105W,4,1209,37.05542,25.72374,17.45244,19.7684,37.220839999999995,"GC content below 
 length below"
760,YDL106C,4,1680,37.14286,25.89286,19.88095,17.08333,36.96428,"GC content below 
 length above"
761,YDL107W,4,1056,37.4053,26.70455,15.15152,20.73864,35.89016,"GC content below 
 length below"
762,YDL108W,4,1002,32.53493,28.44311,17.26547,21.75649,39.02196,"GC content below 
 length below"
763,YDL109C,4,1944,31.84156,26.23457,20.67901,21.24486,41.92387,"GC content above 
 length above"
764,YDL110C,4,453,33.77483,18.98455,19.42605,27.81457,47.24062,"GC content above 
 length below"
765,YDL111C,4,798,29.94987,29.32331,20.55138,20.17544,40.726820000000004,"GC content above 
 length below"
766,YDL112W,4,4311,32.93899,30.57295,17.58293,18.90513,36.488060000000004,"GC content below 
 length above"
767,YDL113C,4,1923,37.02548,25.74103,16.69267,20.54082,37.23349,"GC content below 
 length above"
768,YDL114W,4,927,35.38296,27.07659,19.41748,18.12298,37.540459999999996,"GC content below 
 length below"
769,YDL115C,4,1132,36.0424,26.41343,13.86926,23.67491,37.54417,"GC content below 
 length below"
770,YDL116W,4,2181,33.56259,29.71114,17.37735,19.34892,36.72627,"GC content below 
 length above"
771,YDL117W,4,2658,34.34913,27.01279,18.73589,19.90218,38.63807,"GC content below 
 length above"
772,YDL119C,4,924,32.14286,28.13853,19.26407,20.45455,39.71862,"GC content above 
 length below"
773,YDL120W,4,525,33.52381,25.71429,17.90476,22.85714,40.7619,"GC content above 
 length below"
774,YDL121C,4,450,36.22222,27.11111,15.77778,20.88889,36.666669999999996,"GC content below 
 length below"
775,YDL122W,4,2430,36.09053,26.66667,16.3786,20.8642,37.2428,"GC content below 
 length above"
776,YDL123W,4,423,23.40426,30.26005,27.18676,19.14894,46.3357,"GC content above 
 length below"
777,YDL124W,4,939,33.01384,26.09159,20.34079,20.55378,40.89457,"GC content above 
 length below"
778,YDL125C,4,588,31.63265,26.19048,21.59864,20.57823,42.17687,"GC content above 
 length below"
779,YDL126C,4,2508,30.42265,27.7512,17.54386,24.2823,41.82616,"GC content above 
 length above"
780,YDL127W,4,927,35.27508,26.42934,21.57497,16.7206,38.29557,"GC content below 
 length below"
781,YDL128W,4,1236,24.75728,33.17152,21.35922,20.71197,42.07119,"GC content above 
 length above"
782,YDL129W,4,876,36.07306,21.34703,20.09132,22.48858,42.579899999999995,"GC content above 
 length below"
783,YDL130W,4,622,28.93891,28.61736,19.77492,22.66881,42.44373,"GC content above 
 length below"
784,YDL130W-A,4,261,37.54789,23.75479,19.15709,19.54023,38.697320000000005,"GC content below 
 length below"
785,YDL131W,4,1323,31.3681,26.30385,21.01285,21.31519,42.32804,"GC content above 
 length above"
786,YDL132W,4,2448,35.94771,26.42974,18.09641,19.52614,37.622550000000004,"GC content below 
 length above"
787,YDL133C-A,4,78,47.4359,11.53846,10.25641,30.76923,41.02564,"GC content above 
 length below"
788,YDL133W,4,1314,33.40944,27.39726,18.87367,20.31963,39.1933,"GC content below 
 length above"
789,YDL134C,4,1110,31.26126,27.11712,19.54955,22.07207,41.62162,"GC content above 
 length below"
790,YDL135C,4,609,37.60263,25.45156,16.42036,20.52545,36.945809999999994,"GC content below 
 length below"
791,YDL136W,4,768,36.45833,26.43229,17.31771,19.79167,37.10938,"GC content below 
 length below"
792,YDL137W,4,546,29.48718,28.57143,18.86447,23.07692,41.94139,"GC content above 
 length below"
793,YDL138W,4,2292,29.14485,28.22862,21.59686,21.02967,42.62653,"GC content above 
 length above"
794,YDL139C,4,672,41.07143,18.30357,18.00595,22.61905,40.625,"GC content above 
 length below"
795,YDL140C,4,5202,29.8539,29.2772,20.31911,20.54979,40.8689,"GC content above 
 length above"
796,YDL141W,4,2073,29.95658,29.81187,19.48866,20.74288,40.231539999999995,"GC content above 
 length above"
797,YDL142C,4,852,31.33803,29.69484,19.83568,19.13146,38.96714,"GC content below 
 length below"
798,YDL143W,4,1587,30.11972,27.9143,18.52552,23.44045,41.96597,"GC content above 
 length above"
799,YDL144C,4,1071,28.10458,23.2493,22.12885,26.51727,48.646119999999996,"GC content above 
 length below"
800,YDL145C,4,3606,31.198,28.86855,19.49529,20.43816,39.93345,"GC content above 
 length above"
801,YDL146W,4,1476,32.11382,31.50407,17.81843,18.56369,36.38212,"GC content below 
 length above"
802,YDL147W,4,1338,37.36921,26.75635,15.69507,20.17937,35.87444,"GC content below 
 length above"
803,YDL148C,4,2433,38.51212,25.11303,15.94739,20.42746,36.37485,"GC content below 
 length above"
804,YDL149W,4,2994,33.83434,28.95792,17.73547,19.47228,37.207750000000004,"GC content below 
 length above"
805,YDL150W,4,1269,36.56422,20.72498,17.41529,25.29551,42.7108,"GC content above 
 length above"
806,YDL153C,4,1833,38.18876,23.51337,13.96618,24.3317,38.29788,"GC content below 
 length above"
807,YDL154W,4,2706,34.77458,28.6031,15.77975,20.84257,36.62232,"GC content below 
 length above"
808,YDL155W,4,1284,32.71028,25.77882,19.93769,21.57321,41.5109,"GC content above 
 length above"
809,YDL156W,4,1569,34.28936,23.51816,20.33142,21.86106,42.19248,"GC content above 
 length above"
810,YDL157C,4,357,34.17367,26.61064,15.68627,23.52941,39.21568,"GC content below 
 length below"
811,YDL159W,4,1548,34.56072,27.19638,18.47545,19.76744,38.24289,"GC content below 
 length above"
812,YDL159W-A,4,132,25.0,43.18182,20.45455,11.36364,31.81819,"GC content below 
 length below"
813,YDL160C,4,1521,31.88692,28.86259,20.57857,18.67193,39.2505,"GC content below 
 length above"
814,YDL160C-A,4,243,33.74486,27.57202,15.22634,23.45679,38.683130000000006,"GC content below 
 length below"
815,YDL161W,4,1365,38.31502,20.65934,19.48718,21.53846,41.025639999999996,"GC content above 
 length above"
816,YDL164C,4,2268,32.4515,27.55732,18.47443,21.51675,39.99118,"GC content above 
 length above"
817,YDL165W,4,576,30.90278,27.60417,21.875,19.61806,41.49306,"GC content above 
 length below"
818,YDL166C,4,594,32.15488,24.74747,16.66667,26.43098,43.09765,"GC content above 
 length below"
819,YDL167C,4,2160,34.58333,27.68519,18.28704,19.44444,37.731480000000005,"GC content below 
 length above"
